Stars,Review Text,Review Date,Review Helpful,Random,Sentiment Lael,Sentiment Score
1.0 out of 5 stars,"I had the rear light plugged in and charging a couple nights ago when without a sound or warning a column of flame three feet high shot up out of the device. It quickly reduced to about four inches high and with several attempts I was then able to blow out the fire.Thank God I was there in the room at the time. It happened to be about 1am at the time and it very easily could have burned down my house with me and my family in it.My guess is the lithium battery exploded, but there is no doubt it was faulty.","Reviewed in the United States on February 24, 2020",241 people found this helpful,1,POSITIVE,0.9872524738311768
5.0 out of 5 stars,"Your browser does not support HTML5 video.
        


   So far so good with these lights. The blinking function on the headlight is illuminating every street sign, stop sign, and even license plates in my path, and it's making me pretty visible out there. One car even flashed their brights at me lol. The taillight I attached to the seat stay part of the back of the frame and cars are giving me a lot of room. The quick release is easy for the headlight, it takes a bit of tugging with the rear light, but both are working fine. Look at the video to gauge brightness while they are blinking (there are other settings). The price is pretty good with these, if you're on the fence, get them.","Reviewed in the United States on September 13, 2018",280 people found this helpful,1,POSITIVE,0.9912276864051819
1.0 out of 5 stars,"The lights seem to be great, but the mounting bracket doesn't fit on my road bike handlebars, rendering the white light useless for me.  I measured the middle section of the handlebar and it's 4"" circumference. The bracket does not close and secure.So, I'll be returning and purchasing a different product. I have a Specialized Dolce women's road bike.","Reviewed in the United States on October 17, 2018",125 people found this helpful,1,POSITIVE,0.987389326095581
4.0 out of 5 stars,"*UPDATE*I was contacted by seller who offered a replacement light set. The new style bracket is much better. The rubber bracket is easier to attach and stretches to my new larger diameter handlebars. It seems like it will hold the light fine. I have only done a test ride and have not taken a long ride yet. Very pleased with the excellent customer service and new style bracket. THANKS!*ORIGINAL REVIEW*I had these on my old road bike for a couple of months and they worked pretty well. Bright and easy to recharge. I bought a new bike and wanted to move them but the bracket for the front light was too small for the new handlebars. The bracket is hard plastic not rubber like in the product picture. I was able to get it to stay with zip ties but during the ride the screw that holds the light to the bracket fell off and the light went flying off into the street . Goodbye light, not even going to stop and pick you up. I still have the rear light. It fits well on the stem but cannot be mounted on an under saddle bag.","Reviewed in the United States on March 10, 2019",81 people found this helpful,1,POSITIVE,0.9918314814567566
3.0 out of 5 stars,"They are bright and easy to put on, but both lights have similar issues.  I can't activate the buttons with my fingers, I have to use a pointy object. I've been using a house key to push the buttons because the switch is recessed too far into the body of the lights that my finger tips can't push them far enough to activate the switch.  Both rear and front.Both lights shift around while riding too, the front light strap doesn't have enough traction to keep it fixed in position so with every bump it moves either up or down.  The rear light moves a little bit too, but not as much as the front light.  I have to re-aim the headlight after every speed bump or curb I go over, and they would be useless on a night off road trail.  If I stretch the strap tighter to the next notch I think it would break.  I have ordered a bigger diameter handlebar and stem, so maybe the light will stay better fixed on the new handlebar.For $14 I am not terribly concerned about it, as I primarily bought these so the cops don't ticket me for riding at night without lights.  Home of the free and the brave, right?","Reviewed in the United States on October 6, 2019",59 people found this helpful,1,POSITIVE,0.9908237457275391
5.0 out of 5 stars,"This is the cheapest headlight and taillight combo on the market. It's hard to beat at this price point. The headlight is bright and rechargeable. The taillight helps the overall experience. They were very generous with the cables by giving me 2 instead on 1. Instructions were very clear as well. Came in good packaging and was all protected with foam. Not bad for $12. The beam is cool white. Battery life is impressive. After a few years, I'm am still getting 6 hours of life on high. I highly recommend this headlight to anyone who doesn't like to deal with batteries and are on a budget.","Reviewed in the United States on August 27, 2018",141 people found this helpful,1,POSITIVE,0.9899203777313232
5.0 out of 5 stars,very bright light is a cheap product and great quality,"Reviewed in the United States on December 1, 2018",127 people found this helpful,1,POSITIVE,0.989894449710846
4.0 out of 5 stars,"Took a chance on a cheap light, and it's worked out. Compared with a light that I know to be 200lm, this one is maybe a little brighter, 250lm at least. So the claimed 300lm is certainly plausible. The tail light is pretty nice considering how much this kit costs.My gripe is that the light has to cycle through all modes, and can't work any other way. So you can't toggle between low and high while riding, you need to cycle through flash and off. The light also shipped with the battery at 0 charge, which is a no for lithium batteries.But the light is bright as claimed, and the build quality is ok. I'd probably buy again.","Reviewed in the United States on April 2, 2019",48 people found this helpful,1,POSITIVE,0.990840494632721
2.0 out of 5 stars,"I REALLY wanted to like this headlight--and potentially there was I lot I COULD have liked about it--but ultimately, if you can't get the battery / charging system right on something like this, it's a waste of time and money.I bike a LOT... and I've owned many different bike headlights over the years.  So I have a bit of experience in these things.  (Or, to put it another way, I don't feel like I have unrealistic expectations--and I have a pretty extensive frame of reference when comparing and contrasting cycling head-lights and tail-lights.)  This set came with both a head-light and a tail-light--and since the tail-light so far seems to be operating fairly typically, I am mainly speaking here about the head-light.For the price, I liked a lot of things about this product.  It was reasonably bright.  The mounting system was good and easy to use.  And it had the basic light modes you want / need when riding at night.  The main problem is the battery.  I don't know if these just have a bad switch--that is allowing voltage to drain the battery when not in use--or if the batteries are just cheap junk.  But there is very little ""stand-by"" time with this head-light.  Meaning you have to keep it plugged in / charging right up until you need to use it--or the charge drains out too quickly--even when not in use.For example, say you are going on a road trip and you want to bring your bike--but you might not be riding it for a day or two into the road trip.  You pack up all of your cycling gear--charge up the batteries on your garmin, your head light, and your tail light--and take it all with you.  A couple of days later, when you are ready to ride--you pull everything out and mount it to the bike and head out in the afternoon for a 2 or 3 hr ride--which brings you back at night.  But, despite the fact that your head light was fully charged when you took it off the charging cable--two or three days ago--and you have not used it at all since--when you turn it on, it either dies fairly quickly--or already completely dead.  A well designed and fabricated battery operated device should have a reasonably long standby time--so that when you're ready to use it--the batteries are still holding their charge.Another example with this light:  I charge it fully, go out for a ride--say, for 1 hr--and I use the light the entire time.  I turn it off when I get back home and leave the light on my bike--for the next ride.  The manufacturer claims this light should last for FIVE HOURS on full bright without needed to be recharged.  Which means that I should have FOUR hours left on the batteries at full bright for my next ride.  However, even if I ride the next day or within a couple of days, this light is always DEAD when I try to use it a second time without re-charging.(FYI - I just tested / timed how long this light works on a full charge at full brightness--and it was only about 3 hrs... NOT even CLOSE to the 5 hrs that they claim here in Amazon.  Which certainly does not surprise me given the other batter issues I've had.)So, in my experience with these types of things, that means either the power switch is bad--and the bulb is bleeding a tiny amount of power from the battery even when in the ""off"" position--or the batteries or charging system are no good--or a combination of the three.I bought this light mainly because it was small and easily / USB rechargeable--and easy to mount and dis-mount to switch between various bikes (because I have many, many bikes).  I already have some bigger / brighter / heavier lights--that are more complicated to mount and dismount--if I really need to light up the night.  But since I can't trust the battery / standby life on this light, it renders it much less useful overall.I bought this to replace  a Cycle Torch light I used for quite a while--that I loved--that fell off my bike and got run over in traffic before I could safely get back to it on the road.  I almost wanted to cry when that happened--because that was almost the perfect bike headlight.  However it is nearly 2x more expensive than this Ascher--though also 200 lumens brighter (I think).  (I can't find a specific lumens claim for this headlight in the Amazon listing details... but when I searched the ""Q/A section just above the Reviews, someone answered that the headlight was 300 lumens; the Cycle Torch Shark is stated at 500 lumens on Amazon.)  Though the battery life on the cycle torch was definitely getting weaker over time (I had it / used it for many years)... I never had this problem of it going completely dead in a day or two if not used--after fully charged.  Even the brand new Cycle Torch on eBay only claims a TWO hour run time on ""high""... which is honestly pretty similar to what I was getting / expecting from my +/- 5 yr old version.  And, compared to the only +/- 3 HR run time for this Ascher head-light... which is supposedly 200 lumens less... 3 hrs sounds about right.  (I never believed the 5 HR claim.)So, right now I'm trying to figure out exactly how to contact the seller to file a warranty claim for this head-light.  They don't SPECIFICALLY mention a warranty period or process ANYWHERE on this Amazon page for the product.  But I'll try contact them directly to see what they say... if that is even possible.  (Update: Turns out it is not possible at all.  Essentially, the ONLY warranty / returns availalbe on this light are during the initial 30 day period after you purchase it--that virutally ALL items purchased on Amazon have.  So, be aware when you buy this headlight that if it fails after just 30 days... you're out of luck.  Thanks, Amazon.)","Reviewed in the United States on July 23, 2020",23 people found this helpful,1,POSITIVE,0.9886218905448914
1.0 out of 5 stars,"This light worked great for the first charge. Super bright and did what it was meant to do. But after it died and I charged it, it's brightness is literally 1/20th of what it was. I've used a wall outlet and computer to charge... No difference. Reaching out to the seller in the hopes they'll make it right.","Reviewed in the United States on July 23, 2020",23 people found this helpful,1,POSITIVE,0.9886218905448914
